epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,341.182,1.14548,3.39445,1.43667,0.36038,0.34887,0.28615,0.18341,1.25559,2.96216,1.54556,0.000206349,0.000206349,0.000206349
2,667.435,1.20611,2.61608,1.50367,0.42109,0.38665,0.35914,0.22177,1.27153,2.55293,1.56582,0.000406472,0.000406472,0.000406472
3,990.266,1.21822,2.41141,1.49425,0.38087,0.35878,0.34928,0.20445,1.37908,2.80954,1.66856,0.000598344,0.000598344,0.000598344
4,1317.66,1.24019,2.27162,1.49505,0.51572,0.41608,0.42979,0.25622,1.35679,2.42705,1.65891,0.000587875,0.000587875,0.000587875
5,1644.32,1.20193,2.1436,1.45659,0.54949,0.48238,0.50747,0.30866,1.2752,2.19001,1.53111,0.0005755,0.0005755,0.0005755
6,1970.85,1.19158,2.01543,1.44811,0.6527,0.45784,0.50442,0.31112,1.30382,2.20714,1.55783,0.000563125,0.000563125,0.000563125
7,2299.89,1.17453,1.96055,1.42711,0.57615,0.48452,0.50042,0.28287,1.36207,2.16918,1.56956,0.00055075,0.00055075,0.00055075
8,2621.73,1.1854,1.85723,1.42064,0.59344,0.51212,0.55458,0.35946,1.22747,2.04099,1.50233,0.000538375,0.000538375,0.000538375
9,2984.99,1.14851,1.79451,1.39737,0.68938,0.46637,0.58448,0.36545,1.25226,2.05869,1.53108,0.000526,0.000526,0.000526
10,3308.59,1.12554,1.75933,1.38763,0.69428,0.54867,0.66303,0.41362,1.23653,1.69021,1.46614,0.000513625,0.000513625,0.000513625
11,3633.52,1.10425,1.67811,1.37386,0.63483,0.52542,0.61704,0.38058,1.28162,1.79154,1.53426,0.00050125,0.00050125,0.00050125
12,3958.93,1.09015,1.65741,1.35853,0.75771,0.52938,0.63447,0.40483,1.27513,1.69876,1.5233,0.000488875,0.000488875,0.000488875
13,4284.66,1.08794,1.56859,1.35491,0.53592,0.67069,0.64974,0.42633,1.19726,1.61671,1.43704,0.0004765,0.0004765,0.0004765
14,4613.86,1.08991,1.56476,1.3621,0.64357,0.55487,0.61499,0.39093,1.19993,1.66647,1.43654,0.000464125,0.000464125,0.000464125
15,4947.13,1.06006,1.50898,1.32945,0.62355,0.60562,0.64688,0.42542,1.20971,1.5441,1.45738,0.00045175,0.00045175,0.00045175
16,5282.22,1.0529,1.46847,1.32216,0.58807,0.65539,0.67047,0.43363,1.19915,1.52667,1.47187,0.000439375,0.000439375,0.000439375
17,5617.27,1.05195,1.45078,1.33034,0.64239,0.60706,0.64071,0.42596,1.18635,1.52898,1.4254,0.000427,0.000427,0.000427
18,5951.49,1.03184,1.41292,1.31553,0.71137,0.59818,0.68863,0.45986,1.17604,1.4326,1.42475,0.000414625,0.000414625,0.000414625
19,6289.68,0.99886,1.38086,1.29818,0.6223,0.68103,0.68446,0.46056,1.17465,1.45715,1.44045,0.00040225,0.00040225,0.00040225
20,6625.56,1.02033,1.3493,1.31057,0.69386,0.60375,0.69882,0.47924,1.1582,1.41206,1.41893,0.000389875,0.000389875,0.000389875
21,6960.25,1.00708,1.32141,1.2988,0.65808,0.63195,0.70379,0.47459,1.17349,1.40137,1.42066,0.0003775,0.0003775,0.0003775
22,7294.65,0.99534,1.33191,1.30166,0.68826,0.6139,0.62848,0.41581,1.18043,1.78055,1.42854,0.000365125,0.000365125,0.000365125
23,7631.11,0.97814,1.29047,1.27935,0.78146,0.61503,0.71827,0.48803,1.16551,1.40429,1.40602,0.00035275,0.00035275,0.00035275
24,7979,0.99702,1.30113,1.28936,0.73235,0.63276,0.73789,0.50024,1.15245,1.32083,1.39134,0.000340375,0.000340375,0.000340375
25,8315.58,0.95984,1.23102,1.26012,0.67451,0.67732,0.73712,0.50003,1.15547,1.34864,1.40545,0.000328,0.000328,0.000328
26,8647.26,0.95129,1.19517,1.26174,0.70189,0.72798,0.76999,0.53238,1.10198,1.18162,1.36556,0.000315625,0.000315625,0.000315625
27,8981.71,0.94105,1.1842,1.25996,0.71787,0.71221,0.75239,0.50294,1.16791,1.27219,1.42758,0.00030325,0.00030325,0.00030325
28,9315.54,0.93764,1.15757,1.25374,0.76143,0.63986,0.74479,0.49506,1.12078,1.22975,1.39057,0.000290875,0.000290875,0.000290875
29,9650.11,0.92319,1.13472,1.24424,0.74331,0.70159,0.74329,0.52426,1.07397,1.19061,1.35736,0.0002785,0.0002785,0.0002785
30,9983.86,0.9236,1.11618,1.24135,0.75733,0.67137,0.77364,0.53042,1.11219,1.18829,1.3693,0.000266125,0.000266125,0.000266125
31,10317.7,0.90963,1.09371,1.23478,0.78971,0.66788,0.75629,0.51821,1.10945,1.18232,1.37862,0.00025375,0.00025375,0.00025375
